gene,detection_pct_0041323,detection_pct_0041326,cell_type,cellchat_pathway,full_name,HALLMARK,KEGG,REACTOME
WDR5,6.312,6.152,,,WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein),,Cushing syndrome,Activation Of HOX Genes During Differentiation R-HSA-5619507;Chromatin Modifying Enzymes R-HSA-3247509;Developmental Biology R-HSA-1266738;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;HATs Acetylate Histones R-HSA-3214847;Metabolism Of Proteins R-HSA-392499;Neddylation R-HSA-8951664;PKMTs Methylate Histone Lysines R-HSA-3214841;Post-translational Protein Modification R-HSA-597592;RMTs Methylate Histone Arginines R-HSA-3214858;RNA Polymerase II Transcription R-HSA-73857;RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459;Transcriptional Regulation By RUNX1 R-HSA-8878171
WDR55,6.607,4.866,,,WD repeat-containing protein 55,,,
WDR77,6.565,5.354,,,Methylosome protein WDR77 (Androgen receptor cofactor p44) (Methylosome protein 50) (MEP-50) (WD repeat-containing protein 77) (p44/Mep50),,,Chromatin Modifying Enzymes R-HSA-3247509;Metabolism Of RNA R-HSA-8953854;Metabolism Of Non-Coding RNA R-HSA-194441;RMTs Methylate Histone Arginines R-HSA-3214858
WDR81,1.05,1.376,,,WD repeat-containing protein 81,,,"CDC42 GTPase Cycle R-HSA-9013148;RHO GTPase Cycle R-HSA-9012999;Signal Transduction R-HSA-162582;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
WDR90,1.82,2.76,,,WD repeat-containing protein 90,E2F Targets,,
WEE2,0.067,0.024,,,Wee1-like protein kinase 2,,Cell cycle;Human immunodeficiency virus 1 infection,
WFS1,1.101,1.336,surface ectodermal cell,,Wolframin,Estrogen Response Early;Estrogen Response Late;Unfolded Protein Response,Protein processing in endoplasmic reticulum,Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;IRE1alpha Activates Chaperones R-HSA-381070;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;Post-translational Protein Phosphorylation R-HSA-8957275;Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426;Unfolded Protein Response (UPR) R-HSA-381119;XBP1(S) Activates Chaperone Genes R-HSA-381038
WRAP73,2.886,3.769,,,WD repeat-containing protein WRAP73 (WD repeat-containing protein 8) (WD repeat-containing protein antisense to TP73 gene),p53 Pathway,,
WRN,3.412,3.11,enucleate erythrocyte,,"Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN (DNA helicase, RecQ-like type 3) (RecQ protein-like 2) (Werner syndrome protein)",G2-M Checkpoint,,Cell Cycle Checkpoints R-HSA-69620;Cell Cycle R-HSA-1640170;Chromosome Maintenance R-HSA-73886;DNA Double-Strand Break Repair R-HSA-5693532;DNA Repair R-HSA-73894;Defective HDR Thru Homologous Recombination (HRR) Due To BRCA1 Loss-Of-Function R-HSA-9701192;Defective Homologous Recombination Repair (HRR) Due To BRCA2 Loss Of Function R-HSA-9701190;Disease R-HSA-1643685;Diseases Of DNA Repair R-HSA-9675135;Extension Of Telomeres R-HSA-180786;G2/M Checkpoints R-HSA-69481;G2/M DNA Damage Checkpoint R-HSA-69473;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567;HDR Thru Single Strand Annealing (SSA) R-HSA-5685938;Homologous DNA Pairing And Strand Exchange R-HSA-5693579;Homology Directed Repair R-HSA-5693538;Impaired BRCA2 Binding To PALB2 R-HSA-9709603;Impaired BRCA2 Binding To RAD51 R-HSA-9709570;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;Presynaptic Phase Of Homologous DNA Pairing And Strand Exchange R-HSA-5693616;Processing Of DNA Double-Strand Break Ends R-HSA-5693607;Processive Synthesis On C-strand Of Telomere R-HSA-174414;RNA Polymerase II Transcription R-HSA-73857;Regulation Of TP53 Activity R-HSA-5633007;Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756;Removal Of Flap Intermediate From C-strand R-HSA-174437;Resolution Of D-Loop Structures R-HSA-5693537;Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568;Resolution Of D-loop Structures Thru Synthesis-Dependent Strand Annealing (SDSA) R-HSA-5693554;SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232;SUMOylation R-HSA-2990846;SUMOylation Of DNA Damage Response And Repair Proteins R-HSA-3108214;Telomere C-strand (Lagging Strand) Synthesis R-HSA-174417;Telomere Maintenance R-HSA-157579;Transcriptional Regulation By TP53 R-HSA-3700989
WWP1,14.901,13.979,,,NEDD4-like E3 ubiquitin-protein ligase WWP1,p53 Pathway,Endocytosis;Ubiquitin mediated proteolysis,Adaptive Immune System R-HSA-1280218;Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168;Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169;Downregulation Of ERBB4 Signaling R-HSA-1253288;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;Immune System R-HSA-168256;Ion Channel Transport R-HSA-983712;RNA Polymerase II Transcription R-HSA-73857;Regulation Of RUNX2 Expression And Activity R-HSA-8939902;Signal Transduction R-HSA-162582;Signaling By ERBB4 R-HSA-1236394;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;Stimuli-sensing Channels R-HSA-2672351;Transcriptional Regulation By RUNX2 R-HSA-8878166;Transport Of Small Molecules R-HSA-382551
WWP2,7.15,8.448,chondrocyte,,NEDD4-like E3 ubiquitin-protein ligase WWP2,,Ubiquitin mediated proteolysis,"Intracellular Signaling By Second Messengers R-HSA-9006925;NOTCH3 Activation And Transmission Of Signal To Nucleus R-HSA-9013507;PIP3 Activates AKT Signaling R-HSA-1257604;PTEN Regulation R-HSA-6807070;RHO GTPase Cycle R-HSA-9012999;RHOJ GTPase Cycle R-HSA-9013409;RHOQ GTPase Cycle R-HSA-9013406;RHOU GTPase Cycle R-HSA-9013420;Regulation Of PTEN Stability And Activity R-HSA-8948751;Signal Transduction R-HSA-162582;Signaling By NOTCH R-HSA-157118;Signaling By NOTCH3 R-HSA-9012852;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
XIRP1,0.03,,,,Xin actin-binding repeat-containing protein 1 (Cardiomyopathy-associated protein 1),,,
XPA,7.669,7.484,,,DNA repair protein complementing XP-A cells (Xeroderma pigmentosum group A-complementing protein),,Nucleotide excision repair,DNA Repair R-HSA-73894;Dual Incision In GG-NER R-HSA-5696400;Dual Incision In TC-NER R-HSA-6782135;Formation Of Incision Complex In GG-NER R-HSA-5696395;Formation Of TC-NER Pre-Incision Complex R-HSA-6781823;Global Genome Nucleotide Excision Repair (GG-NER) R-HSA-5696399;Nucleotide Excision Repair R-HSA-5696398;Transcription-Coupled Nucleotide Excision Repair (TC-NER) R-HSA-6781827
XPC,6.544,8.849,,,DNA repair protein complementing XP-C cells (Xeroderma pigmentosum group C-complementing protein) (p125),DNA Repair;p53 Pathway,Nucleotide excision repair,DNA Damage Recognition In GG-NER R-HSA-5696394;DNA Repair R-HSA-73894;Formation Of Incision Complex In GG-NER R-HSA-5696395;Global Genome Nucleotide Excision Repair (GG-NER) R-HSA-5696399;Metabolism Of Proteins R-HSA-392499;Nucleotide Excision Repair R-HSA-5696398;Post-translational Protein Modification R-HSA-597592;SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232;SUMOylation R-HSA-2990846;SUMOylation Of DNA Damage Response And Repair Proteins R-HSA-3108214
XPNPEP1,17.882,19.1,,,Xaa-Pro aminopeptidase 1,Hypoxia;Complement,,
XPNPEP3,4.343,4.594,,,Xaa-Pro aminopeptidase 3 (X-Pro aminopeptidase 3),,,
XPO1,12.863,12.225,,,Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog),G2-M Checkpoint;E2F Targets;Myc Targets V1,Human T-cell leukemia virus 1 infection;Influenza A;RNA transport;Ribosome biogenesis in eukaryotes,"Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444;Cell Cycle Checkpoints R-HSA-69620;Cell Cycle R-HSA-1640170;Cell Cycle, Mitotic R-HSA-69278;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273;Deactivation Of Beta-Catenin Transactivating Complex R-HSA-3769402;Disease R-HSA-1643685;Downregulation Of TGF-beta Receptor Signaling R-HSA-2173788;EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025;ESR-mediated Signaling R-HSA-8939211;Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638;Export Of Viral Ribonucleoproteins From Nucleus R-HSA-168274;Extra-nuclear Estrogen Signaling R-HSA-9009391;G2/M Transition R-HSA-69275;HIV Infection R-HSA-162906;HIV Life Cycle R-HSA-162587;Heme Signaling R-HSA-9707616;Host Interactions Of HIV Factors R-HSA-162909;HuR (ELAVL1) Binds And Stabilizes mRNA R-HSA-450520;Infectious Disease R-HSA-5663205;Influenza Infection R-HSA-168255;Interactions Of Rev With Host Cellular Proteins R-HSA-177243;Late Phase Of HIV Life Cycle R-HSA-162599;M Phase R-HSA-68886;MAPK Family Signaling Cascades R-HSA-5683057;MAPK6/MAPK4 Signaling R-HSA-5687128;Metabolism Of RNA R-HSA-8953854;Mitotic Anaphase R-HSA-68882;Mitotic G2-G2/M Phases R-HSA-453274;Mitotic Metaphase And Anaphase R-HSA-2555396;Mitotic Prometaphase R-HSA-68877;Mitotic Spindle Checkpoint R-HSA-69618;NEP/NS2 Interacts With Cellular Export Machinery R-HSA-168333;RHO GTPase Effectors R-HSA-195258;RHO GTPases Activate Formins R-HSA-5663220;Regulation Of mRNA Stability By Proteins That Bind AU-rich Elements R-HSA-450531;Resolution Of Sister Chromatid Cohesion R-HSA-2500257;Rev-mediated Nuclear Export Of HIV RNA R-HSA-165054;Separation Of Sister Chromatids R-HSA-2467813;Signal Transduction R-HSA-162582;Signaling By Nuclear Receptors R-HSA-9006931;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542;Signaling By TGF-beta Receptor Complex R-HSA-170834;Signaling By TGFB Family Members R-HSA-9006936;Signaling By WNT R-HSA-195721;TCF Dependent Signaling In Response To WNT R-HSA-201681;TGF-beta Receptor Signaling Activates SMADs R-HSA-2173789"
XPO7,10.832,10.963,erythrocyte;enucleate erythrocyte;erythroid lineage cell;reticulocyte;neural progenitor cell,,Exportin-7 (Exp7) (Ran-binding protein 16),heme Metabolism,,
XPR1,11.424,11.198,muscle precursor cell;cardiac muscle myoblast;Purkinje cell,,Solute carrier family 53 member 1 (Phosphate exporter SLC53A1) (Protein SYG1 homolog) (Xenotropic and polytropic murine leukemia virus receptor X3) (X-receptor) (Xenotropic and polytropic retrovirus receptor 1),,,
XRCC1,2.622,3.756,,,DNA repair protein XRCC1 (X-ray repair cross-complementing protein 1),,Base excision repair,APEX1-Independent Resolution Of AP Sites Via Single Nucleotide Replacement Pathway R-HSA-5649702;Base Excision Repair R-HSA-73884;DNA Double-Strand Break Repair R-HSA-5693532;DNA Repair R-HSA-73894;Gap-filling DNA Repair Synthesis And Ligation In GG-NER R-HSA-5696397;Gap-filling DNA Repair Synthesis And Ligation In TC-NER R-HSA-6782210;Global Genome Nucleotide Excision Repair (GG-NER) R-HSA-5696399;HDR Thru MMEJ (alt-NHEJ) R-HSA-5685939;Homology Directed Repair R-HSA-5693538;Nucleotide Excision Repair R-HSA-5696398;Resolution Of Abasic Sites (AP Sites) R-HSA-73933;Transcription-Coupled Nucleotide Excision Repair (TC-NER) R-HSA-6781827
XRCC2,0.081,0.028,,,DNA repair protein XRCC2 (X-ray repair cross-complementing protein 2),,Homologous recombination,DNA Double-Strand Break Repair R-HSA-5693532;DNA Repair R-HSA-73894;Defective HDR Thru Homologous Recombination (HRR) Due To BRCA1 Loss-Of-Function R-HSA-9701192;Defective Homologous Recombination Repair (HRR) Due To BRCA2 Loss Of Function R-HSA-9701190;Disease R-HSA-1643685;Diseases Of DNA Repair R-HSA-9675135;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567;Homologous DNA Pairing And Strand Exchange R-HSA-5693579;Homology Directed Repair R-HSA-5693538;Impaired BRCA2 Binding To PALB2 R-HSA-9709603;Presynaptic Phase Of Homologous DNA Pairing And Strand Exchange R-HSA-5693616;Resolution Of D-Loop Structures R-HSA-5693537;Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568;Resolution Of D-loop Structures Thru Synthesis-Dependent Strand Annealing (SDSA) R-HSA-5693554
XRCC3,0.449,0.487,,,DNA repair protein XRCC3 (X-ray repair cross-complementing protein 3),Estrogen Response Late,Homologous recombination,DNA Double-Strand Break Repair R-HSA-5693532;DNA Repair R-HSA-73894;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567;Homologous DNA Pairing And Strand Exchange R-HSA-5693579;Homology Directed Repair R-HSA-5693538;Resolution Of D-Loop Structures R-HSA-5693537;Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568;Resolution Of D-loop Structures Thru Synthesis-Dependent Strand Annealing (SDSA) R-HSA-5693554
XRCC4,0.65,0.724,,,DNA repair protein XRCC4 (hXRCC4) (X-ray repair cross-complementing protein 4),,Non-homologous end-joining,2-LTR Circle Formation R-HSA-164843;DNA Double-Strand Break Repair R-HSA-5693532;DNA Repair R-HSA-73894;Disease R-HSA-1643685;Early Phase Of HIV Life Cycle R-HSA-162594;HIV Infection R-HSA-162906;HIV Life Cycle R-HSA-162587;Infectious Disease R-HSA-5663205;Integration Of Provirus R-HSA-162592;Metabolism Of Proteins R-HSA-392499;Nonhomologous End-Joining (NHEJ) R-HSA-5693571;Post-translational Protein Modification R-HSA-597592;SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232;SUMOylation R-HSA-2990846;SUMOylation Of DNA Damage Response And Repair Proteins R-HSA-3108214
XRCC6,26.396,26.411,,,X-ray repair cross-complementing protein 6,Androgen Response;E2F Targets;Myc Targets V1,Non-homologous end-joining,2-LTR Circle Formation R-HSA-164843;Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949;DNA Double-Strand Break Repair R-HSA-5693532;DNA Repair R-HSA-73894;Disease R-HSA-1643685;Early Phase Of HIV Life Cycle R-HSA-162594;HIV Infection R-HSA-162906;HIV Life Cycle R-HSA-162587;IRF3-mediated Induction Of Type I IFN R-HSA-3270619;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Innate Immune System R-HSA-168249;Integration Of Provirus R-HSA-162592;Neutrophil Degranulation R-HSA-6798695;Nonhomologous End-Joining (NHEJ) R-HSA-5693571;STING Mediated Induction Of Host Immune Responses R-HSA-1834941
YES1,23.025,19.065,,,Tyrosine-protein kinase Yes,,Adherens junction,"Adaptive Immune System R-HSA-1280218;Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851;Axon Guidance R-HSA-422475;CD28 Co-Stimulation R-HSA-389356;CTLA4 Inhibitory Signaling R-HSA-389513;Cell Surface Interactions At Vascular Wall R-HSA-202733;Costimulation By CD28 Family R-HSA-388841;Cytokine Signaling In Immune System R-HSA-1280215;Developmental Biology R-HSA-1266738;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;EPH-Ephrin Signaling R-HSA-2682334;EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665;EPHA-mediated Growth Cone Collapse R-HSA-3928663;EPHB-mediated Forward Signaling R-HSA-3928662;FCGR Activation R-HSA-2029481;FCGR3A-mediated IL10 Synthesis R-HSA-9664323;FCGR3A-mediated Phagocytosis R-HSA-9664422;Fcgamma Receptor (FCGR) Dependent Phagocytosis R-HSA-2029480;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;Hemostasis R-HSA-109582;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Innate Immune System R-HSA-168249;Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988;Leishmania Infection R-HSA-9658195;Nervous System Development R-HSA-9675108;PECAM1 Interactions R-HSA-210990;RNA Polymerase II Transcription R-HSA-73857;RUNX2 Regulates Bone Development R-HSA-8941326;RUNX2 Regulates Osteoblast Differentiation R-HSA-8940973;Regulation Of KIT Signaling R-HSA-1433559;Regulation Of Signaling By CBL R-HSA-912631;Signal Transduction R-HSA-162582;Signaling By ERBB2 R-HSA-1227986;Signaling By Interleukins R-HSA-449147;Signaling By KIT In Disease R-HSA-9669938;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;Signaling By SCF-KIT R-HSA-1433557;Transcriptional Regulation By RUNX2 R-HSA-8878166"
YIPF1,3.254,3.062,,,Protein YIPF1 (YIP1 family member 1),,,
YIPF5,12.05,10.048,,,Protein YIPF5 (Five-pass transmembrane protein localizing in the Golgi apparatus and the endoplasmic reticulum 5) (Smooth muscle cell-associated protein 5) (SMAP-5) (YIP1 family member 5) (YPT-interacting protein 1 A),,,
YJEFN3,1.367,1.679,,,YjeF N-terminal domain-containing protein 3 (YjeF_N3) (hYjeF_N3) (ApoA-I-binding protein 2),,,
YLPM1,11.589,13.061,,,YLP motif-containing protein 1 (Nuclear protein ZAP3) (ZAP113),,,
YTHDC2,5.269,5.509,,,3'-5' RNA helicase YTHDC2,,,
YTHDF1,8.557,9.716,,,YTH domain-containing family protein 1 (DF1) (Dermatomyositis associated with cancer putative autoantigen 1) (DACA-1),,,
YTHDF3,10.621,10.39,,,YTH domain-containing family protein 3 (DF3),,,
YWHAZ,38.124,34.43,,,14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1),Unfolded Protein Response,Cell cycle;Hepatitis B;Hepatitis C;Hippo signaling pathway;Oocyte meiosis;PI3K-Akt signaling pathway;Viral carcinogenesis,"Activation Of BAD And Translocation To Mitochondria R-HSA-111447;Activation Of BH3-only Proteins R-HSA-114452;Adaptive Immune System R-HSA-1280218;Apoptosis R-HSA-109581;Cell Cycle Checkpoints R-HSA-69620;Cell Cycle R-HSA-1640170;Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035;Cytokine Signaling In Immune System R-HSA-1280215;Deactivation Of Beta-Catenin Transactivating Complex R-HSA-3769402;Disease R-HSA-1643685;FOXO-mediated Transcription R-HSA-9614085;G2/M Checkpoints R-HSA-69481;G2/M DNA Damage Checkpoint R-HSA-69473;GP1b-IX-V Activation Signaling R-HSA-430116;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;Hemostasis R-HSA-109582;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988;Intrinsic Pathway For Apoptosis R-HSA-109606;KSRP (KHSRP) Binds And Destabilizes mRNA R-HSA-450604;Membrane Trafficking R-HSA-199991;Metabolism Of RNA R-HSA-8953854;NOTCH4 Activation And Transmission Of Signal To Nucleus R-HSA-9013700;Negative Regulation Of NOTCH4 Signaling R-HSA-9604323;Platelet Activation, Signaling And Aggregation R-HSA-76002;Programmed Cell Death R-HSA-5357801;RHO GTPase Effectors R-HSA-195258;RHO GTPases Activate PKNs R-HSA-5625740;RNA Polymerase II Transcription R-HSA-73857;Rap1 Signaling R-HSA-392517;Regulation Of Localization Of FOXO Transcription Factors R-HSA-9614399;Regulation Of mRNA Stability By Proteins That Bind AU-rich Elements R-HSA-450531;SARS-CoV Infections R-HSA-9679506;SARS-CoV-2 Infection R-HSA-9694516;SARS-CoV-2 Targets Host Intracellular Signaling And Regulatory Pathways R-HSA-9755779;SARS-CoV-2-host Interactions R-HSA-9705683;Signal Transduction R-HSA-162582;Signaling By Interleukins R-HSA-449147;Signaling By NOTCH R-HSA-157118;Signaling By NOTCH4 R-HSA-9013694;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542;Signaling By WNT R-HSA-195721;TCF Dependent Signaling In Response To WNT R-HSA-201681;TP53 Regulates Metabolic Genes R-HSA-5628897;Transcriptional Regulation By TP53 R-HSA-3700989;Translocation Of SLC2A4 (GLUT4) To Plasma Membrane R-HSA-1445148;Vesicle-mediated Transport R-HSA-5653656"
YY1,11.631,10.128,,,Transcriptional repressor protein YY1 (Delta transcription factor) (INO80 complex subunit S) (NF-E1) (Yin and yang 1) (YY-1),,,Activation Of HOX Genes During Differentiation R-HSA-5619507;DNA Damage Recognition In GG-NER R-HSA-5696394;DNA Repair R-HSA-73894;Deubiquitination R-HSA-5688426;Developmental Biology R-HSA-1266738;ESR-mediated Signaling R-HSA-8939211;Estrogen-dependent Gene Expression R-HSA-9018519;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;Global Genome Nucleotide Excision Repair (GG-NER) R-HSA-5696399;Metabolism Of Proteins R-HSA-392499;Nucleotide Excision Repair R-HSA-5696398;Post-translational Protein Modification R-HSA-597592;RNA Polymerase II Transcription R-HSA-73857;Signal Transduction R-HSA-162582;Signaling By Nuclear Receptors R-HSA-9006931;TFAP2 (AP-2) Family Regulates Transcription Of Growth Factors And Their Receptors R-HSA-8866910;Transcriptional Regulation By AP-2 (TFAP2) Family Of Transcription Factors R-HSA-8864260;UCH Proteinases R-HSA-5689603
