subpanel,gene,5K_cell_type,5K_pathway,exclude_recommended,detection_pct_0041323,detection_pct_0041326
07_immune_granulocyte,SLC18A2,basophil;eosinophil;mast cell;mucosal type mast cell,5-HT;Adrenaline;Noradrenaline;Dopamine,no,0.949,0.255
07_immune_granulocyte,SLC2A3,anterior lens cell;vasa recta ascending limb cell;retinal blood vessel endothelial cell;gut endothelial cell;granulocyte;neutrophil;liver dendritic cell;B-1b B cell;T follicular helper cell;group 2 innate lymphoid cell,,no,2.956,5.208
07_immune_granulocyte,SMAP2,"granulocyte;neutrophil;mature conventional dendritic cell;memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive regulatory T cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;type I NK T cell;DN3 thymocyte;DN4 thymocyte;immature natural killer cell;immature innate lymphoid cell;DN1 thymic pro-T cell",,no,6.121,7.156
07_immune_granulocyte,SMCHD1,granulocyte;neutrophil;IgG memory B cell;memory regulatory T cell,,no,5.562,4.617
07_immune_granulocyte,SNHG8,hematopoietic stem cell;pancreatic acinar cell;basophil mast progenitor cell,,no,1.544,0.378
07_immune_granulocyte,SNRPD1,bone marrow cell;granulocyte monocyte progenitor cell;erythroid progenitor cell;proerythroblast,,no,2.721,1.569
07_immune_granulocyte,SNRPD3,bone marrow cell;granulocyte monocyte progenitor cell;professional antigen presenting cell;dendritic cell;primitive red blood cell;macrophage dendritic cell progenitor;basophil mast progenitor cell,,no,8.306,5.661
07_immune_granulocyte,SORL1,macrophage;tissue-resident macrophage;central nervous system macrophage;microglial cell;granulocyte;neutrophil;T-helper 17 cell,APP,no,3.63,3.982
07_immune_granulocyte,SPI1,"phagocyte;colon macrophage;lung macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;osteoclast;hematopoietic cell;granulocyte;leukocyte;professional antigen presenting cell;dendritic cell;CD141-positive myeloid dendritic cell;conventional dendritic cell;Langerhans cell;myeloid dendritic cell;myeloid dendritic cell, human;CD1c-positive myeloid dendritic cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;peripheral blood mononuclear cell;myeloid cell;promonocyte;pre-conventional dendritic cell;early T lineage precursor",,no,1.933,2.705
07_immune_granulocyte,SPN,"hematopoietic stem cell;CD34-positive, CD38-negative hematopoietic stem cell;granulocyte monocyte progenitor cell;DN4 thymocyte;megakaryocyte-erythroid progenitor cell;erythroid progenitor cell;erythroid progenitor cell, mammalian;promyelocyte;basophil mast progenitor cell;hematopoietic precursor cell;myeloid lineage restricted progenitor cell;common myeloid progenitor",ICAM;SN,no,0.411,0.629
07_immune_granulocyte,STK11,mast cell;mucosal type mast cell,,no,7.671,8.98
07_immune_granulocyte,TDRD3,basophil,,no,11.568,12.593
07_immune_granulocyte,TLR2,phagocyte;macrophage;elicited macrophage;inflammatory macrophage;alternatively activated macrophage;granulocyte;neutrophil;myeloid leukocyte;myeloid cell,,no,1.746,2.352
07_immune_granulocyte,TNFSF10,epithelial cell;glomerular capillary endothelial cell;lung endothelial cell;goblet cell;respiratory goblet cell;bronchial goblet cell;tracheal goblet cell;club cell;endothelial cell;endothelial cell of vascular tree;mast cell,TRAIL,no,3.339,5.115
07_immune_granulocyte,TNFSF12,hematopoietic cell;basophil,TWEAK,no,4.857,4.96
07_immune_granulocyte,TREM1,phagocyte;macrophage;tissue-resident macrophage;alveolar macrophage;lung macrophage;classical monocyte;hematopoietic cell;blood cell;granulocyte;basophil;neutrophil;immature neutrophil;leukocyte;professional antigen presenting cell;myeloid leukocyte;myeloid cell,,no,0.261,0.31
07_immune_granulocyte,TRH,bone marrow cell;granulocyte monocyte progenitor cell;promyelocyte;macrophage dendritic cell progenitor;hematopoietic precursor cell;early T lineage precursor;granulocytopoietic cell;common myeloid progenitor;common lymphoid progenitor;radial glial cell;Mueller cell;Cajal-Retzius cell,TRH,no,0.036,
07_immune_granulocyte,TRIB2,mast cell;mucosal type mast cell,,no,4.487,3.855
07_immune_granulocyte,TSPO,"stratified epithelial cell;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;blood cell;granulocyte;immature neutrophil;leukocyte;myeloid leukocyte;monocyte;CD14-positive monocyte;myeloid cell;promonocyte;myelocyte;granulocytopoietic cell",,no,0.322,0.195
07_immune_granulocyte,UTS2,mast cell,UTS2,no,0.025,
07_immune_granulocyte,VASP,"lung macrophage;extravillous trophoblast;granulocyte;neutrophil;myeloid dendritic cell, human;non-classical monocyte;CD14-low, CD16-positive monocyte;myeloid cell",,no,8.625,9.217
07_immune_granulocyte,VDAC2,mast cell;mucosal type mast cell,,no,17.796,18.516
07_immune_granulocyte,VSTM1,basophil;immature neutrophil;promyelocyte;myelocyte;granulocytopoietic cell,,no,0.012,
07_immune_granulocyte,XPO6,granulocyte;neutrophil,,no,5.443,5.942
07_immune_granulocyte,YIF1B,eosinophil,,no,2.41,2.431
08_antigen_presentation_MHC,CIITA,professional antigen presenting cell;dendritic cell;CD141-positive myeloid dendritic cell;conventional dendritic cell;Langerhans cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell,,no,1.157,3.553
08_antigen_presentation_MHC,KIR2DL1,"gamma-delta T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human",MHC-I,no,0.027,0.014
08_antigen_presentation_MHC,KIR3DL1,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated;gamma-delta T cell;mature gamma-delta T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human",MHC-I,no,0.019,0.009
08_antigen_presentation_MHC,KLRC2,"CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;mature NK T cell;gamma-delta T cell;mature gamma-delta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;intraepithelial lymphocyte;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;ILC1, human",MHC-I,no,0.021,
08_antigen_presentation_MHC,LILRB1,"myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;mature NK T cell;myeloid cell",MHC-I,no,0.775,1.517
08_antigen_presentation_MHC,MICA,,MHC-I,no,1.492,1.625
08_antigen_presentation_MHC,MICB,,MHC-I,no,0.433,0.421
08_antigen_presentation_MHC,NLRC5,,,no,1.404,2.182
08_antigen_presentation_MHC,TAP1,"leukocyte;CD141-positive myeloid dendritic cell;myeloid dendritic cell, human;plasmablast;mononuclear cell;alpha-beta T cell;mature alpha-beta T cell;T-helper 17 cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;mucosal invariant T cell;mature T cell;exhausted T cell;pre-conventional dendritic cell",,no,4.706,5.339
08_antigen_presentation_MHC,TAP2,CD141-positive myeloid dendritic cell,,no,3.737,4.715
08_antigen_presentation_MHC,ULBP2,,MHC-I,no,0.144,0.074
09_cytokines_chemokines,ACKR3,mesenchymal stem cell;endothelial cell of lymphatic vessel;endocardial cell;endosteal cell;surface ectodermal cell;keratocyte;fibroblast of breast;myofibroblast cell,CXCL;MIF,no,2.553,4.156
09_cytokines_chemokines,ACVR1,,TGFb;BMP;AMH,no,2.394,2.484
09_cytokines_chemokines,ACVR1B,,TGFb;GDF;MSTN;NODAL;ACTIVIN,no,9.007,10.08
09_cytokines_chemokines,CCL1,,CCL,no,0.023,
09_cytokines_chemokines,CCL17,"mononuclear phagocyte;myeloid dendritic cell, human",CCL,no,0.019,0.015
09_cytokines_chemokines,CCL18,macrophage;alternatively activated macrophage;tissue-resident macrophage;alveolar macrophage;lung macrophage;basophil;professional antigen presenting cell,CCL,no,0.053,0.023
09_cytokines_chemokines,CCL22,"Langerhans cell;myeloid dendritic cell, human;mature conventional dendritic cell;type I NK T cell",CCL,no,0.037,0.014
09_cytokines_chemokines,CCL23,endothelial cell of uterus,CCL,no,0.077,0.067
09_cytokines_chemokines,CCL24,,CCL,no,0.049,0.018
09_cytokines_chemokines,CCL25,intestinal crypt stem cell;intestinal crypt stem cell of small intestine;enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;columnar/cuboidal epithelial cell;intestine goblet cell;M cell of gut;microfold cell of epithelium of small intestine;intestinal epithelial cell;epithelial cell of small intestine;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;transit amplifying cell of small intestine,CCL,no,0.023,
09_cytokines_chemokines,CCL27,stem cell of epidermis;keratinocyte;epidermal cell,CCL,no,0.054,0.045
09_cytokines_chemokines,CCR8,"effector memory CD8-positive, alpha-beta T cell",CCL,no,0.02,
09_cytokines_chemokines,CCR9,"immature alpha-beta T cell;CD8-positive, alpha-beta memory T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;gamma-delta T cell;intraepithelial lymphocyte;immature T cell;thymocyte",CCL,no,0.029,0.009
09_cytokines_chemokines,CSF2,"endothelial cell of umbilical vein;T-helper 1 cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;type I NK T cell;group 3 innate lymphoid cell",IL4,no,0.024,
09_cytokines_chemokines,CSF2RA,"elicited macrophage;inflammatory macrophage;microglial cell;colon macrophage;mononuclear phagocyte;placental villous trophoblast;syncytiotrophoblast cell;professional antigen presenting cell;dendritic cell;conventional dendritic cell;Langerhans cell;myeloid dendritic cell, human",IL4,no,0.526,0.921
09_cytokines_chemokines,CSF2RB,follicular dendritic cell;granulocyte;basophil;eosinophil;plasmacytoid dendritic cell;basophil mast progenitor cell,IL4,no,0.365,0.478
09_cytokines_chemokines,CX3CL1,duct epithelial cell;luminal epithelial cell of mammary gland;squamous epithelial cell;blood vessel endothelial cell;vasa recta ascending limb cell;vasa recta descending limb cell;endothelial cell of artery;endothelial cell;endothelial cell of vascular tree;mammary gland epithelial cell,CX3C,no,2.797,1.965
09_cytokines_chemokines,EBI3,trophoblast giant cell;extravillous trophoblast,IL12,no,0.201,0.209
09_cytokines_chemokines,IL10RB,syncytiotrophoblast cell,IL10,no,4.974,5.386
09_cytokines_chemokines,IL11,fibroblast of connective tissue of glandular part of prostate,IL6,no,0.2,0.054
09_cytokines_chemokines,IL11RA,Sertoli cell;interstitial cell of Cajal;mesothelial cell;granulosa cell;skin fibroblast;chondrocyte;mesenchymal cell;inflammatory cell,IL6,no,1.584,2.174
09_cytokines_chemokines,IL12RB1,,IL12,no,0.125,0.183
09_cytokines_chemokines,IL13RA1,brush cell;intestinal tuft cell;tuft cell of colon,IL4,no,12.942,13.914
09_cytokines_chemokines,IL16,B-1a B cell;double negative T regulatory cell;group 2 innate lymphoid cell,IL16,no,1.078,2.041
09_cytokines_chemokines,IL17A,CD4-positive helper T cell;group 3 innate lymphoid cell,IL17,no,0.065,0.012
09_cytokines_chemokines,IL17B,stem cell;basal cell;muscle cell;smooth muscle cell;enteric smooth muscle cell,IL17,no,0.017,
09_cytokines_chemokines,IL17F,"CD4-positive helper T cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;mature NK T cell;type I NK T cell;regulatory T cell",IL17,no,0.022,
09_cytokines_chemokines,IL17RA,"classical monocyte;CD14-positive, CD16-negative classical monocyte;granulocyte;neutrophil;monocyte;CD14-positive monocyte;promonocyte;myeloid lineage restricted progenitor cell",IL17,no,3.551,4.276
09_cytokines_chemokines,IL17RB,brush cell;intestinal tuft cell;tuft cell of colon,IL17,no,2.177,2.506
09_cytokines_chemokines,IL18R1,granulocyte;neutrophil;mast cell;group 3 innate lymphoid cell,IL1,no,0.512,0.345
09_cytokines_chemokines,IL18RAP,"mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human",IL1,no,0.074,0.051
09_cytokines_chemokines,IL19,,IL10,no,0.026,
09_cytokines_chemokines,IL1F10,,IL1,no,0.017,
09_cytokines_chemokines,IL1RL1,vasa recta ascending limb cell;glomerular capillary endothelial cell;capillary endothelial cell;fenestrated cell;glomerular endothelial cell;basophil;eosinophil;mast cell;mucosal type mast cell;group 2 innate lymphoid cell;fibroblast of breast,IL1,no,1.634,0.204
09_cytokines_chemokines,IL1RL2,,IL1,no,0.292,0.118
09_cytokines_chemokines,IL20,stem cell of epidermis;myoepithelial cell;myoepithelial cell of mammary gland,IL10,no,0.046,
09_cytokines_chemokines,IL21,"activated CD4-positive, alpha-beta T cell",IL2,no,0.057,0.009
09_cytokines_chemokines,IL21R,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",IL2,no,0.041,0.11
09_cytokines_chemokines,IL22,CD4-positive helper T cell;T-helper 1 cell;type I NK T cell,IL10,no,0.072,0.01
09_cytokines_chemokines,IL23R,mucosal invariant T cell;group 3 innate lymphoid cell,IL12,no,0.066,0.027
09_cytokines_chemokines,IL24,myoepithelial cell;myoepithelial cell of mammary gland;vascular associated smooth muscle cell;mural cell,IL10,no,0.088,0.019
09_cytokines_chemokines,IL25,,IL17,no,0.028,
09_cytokines_chemokines,IL26,,IL10,no,0.084,0.014
09_cytokines_chemokines,IL3,,IL4,no,0.025,
09_cytokines_chemokines,IL31,,IL6,no,0.046,0.009
09_cytokines_chemokines,IL33,respiratory basal cell;basal cell of epithelium of trachea;retinal blood vessel endothelial cell;lung microvascular endothelial cell;lung endothelial cell;club cell;endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of uterus;endocardial cell;follicular dendritic cell,IL1,no,0.752,0.681
09_cytokines_chemokines,IL37,brush cell of trachebronchial tree;brush cell of bronchus,IL1,no,0.023,
09_cytokines_chemokines,IL3RA,"prostate gland microvascular endothelial cell;gut endothelial cell;granulocyte;dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;common dendritic progenitor",IL4,no,0.876,1.149
09_cytokines_chemokines,IL5RA,granulocyte;basophil;eosinophil;mast cell;promyelocyte;basophil mast progenitor cell;granulocytopoietic cell,IL4,no,0.136,0.042
09_cytokines_chemokines,IL6R,,IL6,no,2.653,2.937
09_cytokines_chemokines,IL6ST,skeletal muscle satellite stem cell;intrahepatic cholangiocyte;vasa recta ascending limb cell;retinal blood vessel endothelial cell;glomerular capillary endothelial cell;lung microvascular endothelial cell;lung endothelial cell;type B pancreatic cell;fenestrated cell;glomerular endothelial cell;endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;surface ectodermal cell;skeletal muscle satellite cell;connective tissue cell;fibroblast;fibroblast of lung,IL6;IL12;LIFR;OSM,no,29.643,22.846
09_cytokines_chemokines,IL7,neuroendocrine cell;chromaffin cell,IL2,no,0.877,0.301
09_cytokines_chemokines,IL9,"activated CD8-positive, alpha-beta T cell;type I NK T cell",IL2,no,0.026,
09_cytokines_chemokines,IL9R,"CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;group 2 innate lymphoid cell",IL2,no,0.051,0.047
09_cytokines_chemokines,TGFB2,type I pneumocyte,TGFb,no,2.892,3.27
09_cytokines_chemokines,TGFB3,,TGFb,no,9.565,4.734
09_cytokines_chemokines,TGFBR1,kidney collecting duct principal cell;renal principal cell;microglial cell;mature microglial cell,TGFb;GDF;MSTN,no,7.479,7.001
09_cytokines_chemokines,TGFBR2,retinal blood vessel endothelial cell;kidney capillary endothelial cell;glomerular capillary endothelial cell;lung microvascular endothelial cell;lung endothelial cell;fenestrated cell;glomerular endothelial cell;surface ectodermal cell,TGFb;GDF,no,19.206,21.814
