source,subpanel,gene,subtype_hint,evidence,detection_pct_r1,detection_pct_r2,det_max,specificity_flag
shared,06_immune_myeloid,S1PR3,,cellxgene,2.615,1.617,2.615,
shared,06_immune_myeloid,SERPINB9,,cellxgene,0.938,1.154,1.154,
shared,06_immune_myeloid,SIGLEC6,,cellxgene,0.071,0.099,0.099,
shared,06_immune_myeloid,SIRPA,,canonical,5.757,5.069,5.757,
shared,06_immune_myeloid,SLC11A1,,cellxgene,0.151,0.199,0.199,
shared,06_immune_myeloid,SLC7A7,,cellxgene,2.458,2.81,2.81,
shared,06_immune_myeloid,SLCO2B1,,cellxgene,6.425,8.594,8.594,
shared,06_immune_myeloid,SORL1,,cellxgene,3.63,3.982,3.982,
shared,06_immune_myeloid,SPI1,,both,1.933,2.705,2.705,
shared,06_immune_myeloid,TBXAS1,,cellxgene,1.22,2.291,2.291,
shared,06_immune_myeloid,TCF4,pDC,both,4.866,7.335,7.335,
shared,06_immune_myeloid,THEMIS2,,cellxgene,1.668,2.645,2.645,
shared,06_immune_myeloid,TLR2,,cellxgene,1.746,2.352,2.352,
shared,06_immune_myeloid,TNFRSF1B,,cellxgene,1.255,1.892,1.892,
shared,06_immune_myeloid,TREM2,macrophage,both,1.437,1.8,1.8,
shared,06_immune_myeloid,TYMP,,cellxgene,1.724,2.568,2.568,
shared,06_immune_myeloid,UBE2D3,,cellxgene,30.029,23.141,30.029,
shared,06_immune_myeloid,VASP,,cellxgene,8.625,9.217,9.217,
shared,06_immune_myeloid,VSIG4,,cellxgene,3.048,3.34,3.34,
shared,06_immune_myeloid,VSIR,,cellxgene,0.51,0.94,0.94,
shared,06_immune_myeloid,WAS,,cellxgene,1.305,2.495,2.495,
shared,06_immune_myeloid,WDFY4,,cellxgene,0.225,0.431,0.431,
shared,06_immune_myeloid,XCR1,DC,both,0.018,0.01,0.018,
shared,07_immune_granulocyte,CAMP,,both,0.04,0.0,0.04,
shared,07_immune_granulocyte,CCR3,eosinophil,canonical,0.021,0.0,0.021,
shared,07_immune_granulocyte,CEACAM3,neutrophil,canonical,0.018,0.011,0.018,
shared,07_immune_granulocyte,CSF3R,neutrophil,both,0.727,1.573,1.573,
shared,07_immune_granulocyte,CTSG,,both,0.074,0.101,0.101,
shared,07_immune_granulocyte,CXCR1,neutrophil,canonical,0.066,0.032,0.066,
shared,07_immune_granulocyte,CXCR2,neutrophil,both,0.037,0.025,0.037,
shared,07_immune_granulocyte,ELANE,,both,0.072,0.02,0.072,
shared,07_immune_granulocyte,ENPP3,basophil,canonical,0.11,0.078,0.11,
